pub_title	source_url	raw_data_format	dataset_identifier	data_repository	dataset_context_from_paper	dataset_keywords	citation_type	dataset_webpage	access_mode
Genome-wide association studies of Alzheimer’s disease and related disorders stratified by sex, onset age, and Apolipoprotein E genotype reveal novel risk loci in African Americans	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12288278/	XML		www.niagads.org	Pre-frontal cortex tissue from 177 African American neuropathologically determined AD case and control donors (125 AD cases and 82 neuropathologically determined controls) assembled from 13 ADRC brain banks. Gene expression was assessed via RNA-seq. Genome-wide genotypes were assessed using the Illumina Global Diversity Array (~1.8 million variants) and imputed using 1000 Genomes phase 3v5 reference data. Association between significant variants with MAF >5% and all expressed genes within 200 kb was tested using regression models with covariates for RNA integrity number, age at death, sex, batch and estimated cell proportions.	RNA-seq, brain tissue, African American, eQTL analysis	Primary		
Multi-ancestry genome-wide meta-analysis of 56,241 individuals identifies known and novel cross-population and ancestry-specific associations as novel risk loci for Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12273372/	XML		www.nia.nih.gov	Multi-ancestry genome-wide meta-analysis of 56,241 individuals from the Alzheimer's Disease Genetics Consortium (ADGC) including 37,382 non-Hispanic White (NHW), 6,728 African American (AFA), 8,899 Hispanic (HIS), and 3,232 East Asian (EAS) participants. The study combined data from multiple cohorts including the National Alzheimer's Coordinating Center (NACC), Alzheimer's Disease Neuroimaging Initiative (ADNI), Rush Memory and Aging Project (ROSMAP), Chicago Health and Aging Project (CHAP), Einstein Aging Study, and others. All samples were directly genotyped and either clinically assessed or pathologically evaluated for Alzheimer's disease status. Cases met NINCDS-ADRDA or NIA-AA criteria for clinical diagnosis of AD with age-at-onset >60 years or had autopsy-confirmation of late-onset AD pathology. Controls were cognitively normal elders with MMSE >26 or 3MS >87 at most recent exam and/or pathological confirmation of no AD.	Alzheimer's disease, multi-ancestry, genome-wide association	Secondary		
Multi-ancestry genome-wide meta-analysis of 56,241 individuals identifies known and novel cross-population and ancestry-specific associations as novel risk loci for Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12273372/	XML		www.nhlbi.nih.gov	Imputed genotypes were derived from the Trans-Omics for Precision Medicine (TOPMed) R5 haplotype reference panel containing over 300 million unique variants from a large, diverse sample set. Phasing was performed with EAGLE and imputation with Minimac4. Variants with imputation quality R² ≥0.8 were retained for analysis.	genomic imputation, haplotype reference, genetic variants	Secondary		
Multi-ancestry genome-wide meta-analysis of 56,241 individuals identifies known and novel cross-population and ancestry-specific associations as novel risk loci for Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12273372/	XML		www.internationalgenome.org	Genetic clustering of samples was performed against 1000 Genomes/Human Genome Diversity Project reference panels to identify genetic similarity groups (GSGs) for population-specific analyses. Principal components analysis (PCA) was conducted using ~20,000 LD-pruned SNPs sampled from genotyped variants across GSGs, comparing all samples within each individual dataset against the 1kG Phase 3/HGDP reference panels.	population genetics, ancestry reference, genetic diversity	Secondary		
Multi-ancestry genome-wide meta-analysis of 56,241 individuals identifies known and novel cross-population and ancestry-specific associations as novel risk loci for Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12273372/	XML		www.framinghamheartstudy.org	Differential gene expression analysis was performed using autopsy-confirmed AD brains and brains of cognitively intact decedents from the Framingham Heart Study (FHS) and Boston University Alzheimer's Disease Center (BUADC). The dataset included 208 participants (64 autopsy-confirmed AD cases and 129 controls) with prefrontal cortex tissue specimens. Gene expression was compared between AD and control brains using linear regression models adjusted for age at death, sex, and RNA integrity number (RIN).	brain tissue, gene expression, neuropathology	Secondary		
Novel early‐onset Alzheimer‐associated genes influence risk through dysregulation of glutamate, immune activation, and intracellular signaling pathways	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12187977/	XML	ADGC	www.niagads.org	Genetic and phenotypic data from the Alzheimer's Disease Genetics Consortium (ADGC) including participants from multiple cohorts: Adult Changes in Thought (ACT) study, National Institute on Aging (NIA) Alzheimer's Disease Centers (ADC), Alzheimer's Disease Neuroimaging Initiative (ADNI), BIOCARD, Chicago Health and Aging Project (CHAP), and others. Used for genome-wide association study of early-onset Alzheimer's disease with 7,349 cases and 17,887 controls across multiple ancestries.	genome-wide association, Alzheimer's disease, genetic variants	Secondary		
Novel early‐onset Alzheimer‐associated genes influence risk through dysregulation of glutamate, immune activation, and intracellular signaling pathways	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12187977/	XML	Knight-ADRC	www.wustl.edu	Genetic and phenotypic data from the Charles F. and Joanne Knight Alzheimer's Disease Research Center (Knight-ADRC) at Washington University in St. Louis. Participants evaluated by Clinical Core Personnel with diagnosis of dementia of the Alzheimer's type or nondemented control status. Data used in multi-ancestry GWAS of early-onset Alzheimer's disease.	clinical phenotypes, Alzheimer's disease, dementia diagnosis	Primary		
Novel early‐onset Alzheimer‐associated genes influence risk through dysregulation of glutamate, immune activation, and intracellular signaling pathways	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12187977/	XML		www.gtexportal.org	Gene expression quantitative trait loci (eQTL) data from GTEx Portal v8 for all brain tissues. Used for post-GWAS analyses to identify functional genes in GWAS loci through colocalization and overlap analyses with EOAD variants.	gene expression, eQTL, brain tissue	Secondary		
Novel early‐onset Alzheimer‐associated genes influence risk through dysregulation of glutamate, immune activation, and intracellular signaling pathways	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12187977/	XML	MetaBrain	www.metabrain.nl	Brain tissue eQTL data from MetaBrain analysis downloaded February 24, 2023. Used for gene prioritization and colocalization analyses to identify causal genes at EOAD GWAS loci.	gene expression, eQTL, brain	Secondary		
Novel early‐onset Alzheimer‐associated genes influence risk through dysregulation of glutamate, immune activation, and intracellular signaling pathways	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12187977/	XML		www.wustl.edu	Cerebrospinal fluid protein quantitative trait loci (pQTL) data generated using 7,584 unique aptamers measuring 6,179 unique proteins on the SOMAscan7k platform for 4,223 participants from six dementia-relevant cohorts. Meta-analysis of discovery (n=1,912) and replication (n=1,195) datasets. Used for gene prioritization and protein-level colocalization analyses.	proteomics, CSF biomarkers, protein QTL	Primary		
Novel early‐onset Alzheimer‐associated genes influence risk through dysregulation of glutamate, immune activation, and intracellular signaling pathways	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12187977/	XML		www.wustl.edu	Cerebrospinal fluid metabolite quantitative trait loci data generated using metabolite levels measured by Metabolon for 1,224 + 1,087 (discovery and replication) participants from five dementia-relevant cohorts. Used for colocalization analyses with EOAD GWAS loci to identify metabolite associations.	metabolomics, CSF, metabolite QTL	Primary		
Novel early‐onset Alzheimer‐associated genes influence risk through dysregulation of glutamate, immune activation, and intracellular signaling pathways	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12187977/	XML		www.wustl.edu	Brain metabolite quantitative trait loci data generated using metabolite levels from parietal, prefrontal cortex, and temporal cortex post-mortem brain biopsies from 1,172 participants from four dementia-relevant cohorts. Used for colocalization analyses with EOAD variants.	metabolomics, brain tissue, metabolite QTL	Primary		
LATE-NC Stage 3: a diagnostic rubric to differentiate severe LATE-NC from FTLD-TDP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12037668/	XML		university of kentucky	Human brain tissue samples were analyzed from research participants who had gone through clinical and pathological evaluation from the University of Kentucky Alzheimer's Disease Research Center (UK-ADRC) brain bank. From this cohort, the most severe cases of LATE-NC Stage 3 (n = 9) and autopsy-confirmed cases of FTLD-TDP Types A or B (n = 3) were analyzed. Notably, there were 10 other cases of LATE-NC Stage 3 from the UK-BB that had negligible amounts of MFG TDP-43 proteinopathy.	neuropathology, brain tissue, LATE-NC, FTLD-TDP	Primary		
LATE-NC Stage 3: a diagnostic rubric to differentiate severe LATE-NC from FTLD-TDP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12037668/	XML		university of california, irvine	All LATE-NC Stage 3 cases from the UCI-BB were used for the current study (n = 13). One of these 13 cases had tissue that was technically incompatible with IHC analyses and so was excluded, leaving n = 12 cases from UCI-BB. These autopsy-confirmed cases were selected and tested for MFG TDP-43 proteinopathy.	aging, neuropathology, LATE-NC, brain autopsy	Primary		
